Wavelength, nm	Energy, eV	Hemispherica	Direct	Hemispherica
		Hemispherical Tilt Irrad, W.m-2.nm-1	Direct + Circumsolar, W.m-2.nm-1	Hemispherical Tilt Irrad, W.m-2.eV-1
496	2,49959677419355	1,5676	1,3548	311,062011292144
497	2,49456740442656	1,5944	1,3788	317,657000806582
498	2,48955823293173	1,5509	1,3421	310,235040813034
499	2,48456913827655	1,5507	1,3429	311,442047668979
500	2,4796	1,5451	1,3391	311,56234876593
501	2,47465069860279	1,4978	1,299	303,2338262623
502	2,46972111553785	1,4966	1,2991	304,201634457171
503	2,46481113320079	1,5653	1,3597	319,434576302629
504	2,45992063492063	1,4587	1,2682	298,865251814809
505	2,4550495049505	1,5635	1,3598	321,609604371673
506	2,4501976284585	1,6264	1,4153	335,874294563639
507	2,44536489151874	1,556	1,3548	322,607068882078
508	2,44055118110236	1,5165	1,321	315,659022422971
509	2,43575638506876	1,5893	1,385	332,116013308598
510	2,43098039215686	1,5481	1,3497	324,778843361833
511	2,42622309197652	1,5769	1,3753	332,119458703017
512	2,421484375	1,6186	1,4125	342,237682206808
513	2,41676413255361	1,5206	1,3277	322,773658170673
514	2,41206225680934	1,4885	1,3003	317,192890788837
515	2,4073786407767	1,5314	1,3385	327,605714631392
516	2,40271317829457	1,5455	1,3514	331,907281819648
517	2,39806576402321	1,2594	1,1017	271,514572189063
518	2,39343629343629	1,4403	1,2605	311,717258590095
519	2,3888246628131	1,3957	1,2222	303,232092030973
520	2,38423076923077	1,5236	1,3349	332,296693015002
521	2,37965451055662	1,5346	1,3452	335,984318922407
522	2,37509578544061	1,569	1,376	344,835776738184
523	2,37055449330784	1,4789	1,2976	326,280075899339
524	2,36603053435115	1,5905	1,3962	352,244820132279
525	2,36152380952381	1,5781	1,3859	350,833854250686
526	2,35703422053232	1,5341	1,3479	342,352517825456
527	2,35256166982922	1,3417	1,1795	300,555734231328
528	2,34810606060606	1,5357	1,3508	345,320687852879
529	2,34366729678639	1,6071	1,4142	362,74598411034
530	2,33924528301887	1,5446	1,3598	349,958170672689
531	2,33483992467043	1,6292	1,4348	370,520133247298
532	2,33045112781955	1,5998	1,4094	365,205513147282
533	2,32607879924953	1,4286	1,259	327,350819003065
534	2,32172284644195	1,5302	1,3491	351,948468462655
535	2,31738317757009	1,5535	1,3701	358,64698943378
536	2,31305970149254	1,6199	1,4292	375,375698015809
537	2,30875232774674	1,4989	1,3229	348,633887804485
538	2,30446096654275	1,5738	1,3896	367,419718664301
539	2,30018552875696	1,5352	1,3558	359,741764155509
540	2,29592592592593	1,4825	1,3096	348,682852072915
541	2,2916820702403	1,4251	1,2595	336,424982335861
542	2,28745387453875	1,5511	1,3714	367,524875302468
543	2,28324125230203	1,5256	1,3493	362,817901597032
544	2,27904411764706	1,5792	1,3971	376,949613808679
545	2,2748623853211	1,5435	1,3657	369,783906678497
546	2,27069597069597	1,5291	1,3536	367,679606065495
547	2,26654478976234	1,549	1,3717	373,830247620584
548	2,26240875912409	1,5049	1,3331	364,516445878368
549	2,25828779599271	1,552	1,3752	377,298235199226
550	2,25418181818182	1,5399	1,3648	375,721688982094
551	2,25009074410163	1,5382	1,3639	376,672897402807
552	2,24601449275362	1,5697	1,3923	385,783085013712
553	2,24195298372514	1,525	1,3533	376,156416357477
554	2,23790613718412	1,5549	1,3802	384,919897080174
555	2,23387387387387	1,5634	1,3883	388,422556057429
556	2,22985611510791	1,5366	1,3651	383,141133731247
557	2,22585278276481	1,4988	1,3321	375,061462493951
558	2,22186379928315	1,531	1,3613	384,4961155025
559	2,21788908765653	1,4483	1,2885	365,031644055493
560	2,21392857142857	1,474	1,3118	372,839490240361
561	2,20998217468806	1,5595	1,3885	395,876269962897
562	2,20604982206406	1,4847	1,3225	378,233252782707
563	2,20213143872114	1,5408	1,3731	393,923080496854
564	2,19822695035461	1,5106	1,3466	387,575268269076
565	2,19433628318584	1,5201	1,3555	391,396937005969
566	2,1904593639576	1,4374	1,2823	371,414513953864
567	2,18659611992945	1,532	1,3673	397,258548152928
568	2,18274647887324	1,518	1,3554	395,017931924504
569	2,17891036906854	1,4807	1,3228	386,669553718342
570	2,17508771929825	1,4816	1,324	388,265720277464
571	2,17127845884413	1,4331	1,281	376,874783916761
572	2,16748251748252	1,5134	1,3534	399,387212130989
573	2,16369982547993	1,5198	1,3595	402,479766252621
574	2,15993031358885	1,5119	1,3527	401,78638844975
575	2,15617391304348	1,4777	1,3225	394,067238667527
576	2,15243055555556	1,4654	1,3118	392,147564445878
577	2,14870017331023	1,5023	1,3452	403,419290772705
578	2,14498269896194	1,456	1,304	392,342558477174
579	2,1412780656304	1,477	1,323	399,379703984514
580	2,13758620689655	1,502	1,3455	407,543797386675
581	2,13390705679862	1,5089	1,3518	410,828998951444
582	2,13024054982818	1,532	1,3729	418,555547668979
